lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
245,0,110.0,7,6,3,4,2,0,0,0
86,0,85.0,8,4,3,5,2,0,0,1
156,1,85.0,11,16,4,4,0,0,0,0
65,0,76.93,3,31,4,3,1,3,0,0
188,0,130.0,6,15,3,2,0,0,0,0
205,1,92.01,8,20,4,6,2,0,0,1
72,0,108.0,9,18,3,1,0,1,0,1
7,2,141.95,5,29,4,3,2,0,3,1
56,0,142.2,8,29,4,4,1,0,3,0
21,0,85.0,10,4,3,3,0,0,0,1
141,0,107.95,7,6,4,4,1,0,0,1
151,0,80.0,1,19,3,3,0,0,0,1
3,2,156.0,3,28,4,3,1,0,3,1
46,1,122.4,12,29,4,1,0,0,0,1
83,2,132.3,10,19,4,4,0,0,3,1
265,0,90.0,6,24,3,2,0,1,0,1
2,0,75.0,1,6,2,1,0,0,0,1
4,1,133.0,2,4,4,2,0,0,3,1
105,0,75.0,4,6,3,1,0,0,0,0
7,0,119.0,6,4,4,1,1,3,0,1
76,1,80.75,9,15,4,5,0,0,0,1
6,0,0.0,12,10,4,2,0,1,0,1
93,0,118.19,12,30,4,3,0,0,0,1
0,1,108.0,1,4,4,0,1,0,3,1
148,0,105.3,5,5,4,3,0,0,0,1
66,2,102.0,9,5,4,2,1,0,0,1
145,0,94.5,7,16,4,1,0,3,0,0
149,1,65.45,11,16,4,4,0,0,0,1
133,0,115.6,11,27,4,3,2,0,3,0
30,0,152.78,10,3,4,3,1,0,3,0
40,1,75.53,9,30,4,4,1,0,0,1
44,0,251.7,6,16,4,3,0,0,3,0
192,0,95.0,6,24,3,2,0,0,0,1
39,0,101.5,8,14,3,2,0,1,0,1
167,1,72.25,7,25,3,1,1,0,0,1
34,0,224.67,9,23,3,3,0,1,0,0
273,0,94.5,6,24,4,2,1,0,0,0
8,2,128.5,6,20,4,3,1,0,0,1
74,0,109.0,9,18,3,2,0,1,0,1
14,0,99.5,12,26,4,2,2,0,0,1
0,0,135.0,5,24,4,1,0,0,0,0
320,0,90.0,8,18,3,2,0,1,0,1
4,2,140.0,10,29,4,1,0,3,0,1
53,1,80.3,2,20,4,1,1,0,0,1
238,0,78.3,12,31,4,1,1,3,0,0
122,2,72.26,8,21,3,5,3,0,0,1
69,0,120.0,6,12,4,4,2,0,0,0
57,1,90.67,6,10,3,2,1,0,0,1
93,0,115.0,10,15,3,1,2,0,0,0
0,1,0.0,3,22,1,1,0,0,0,1
64,0,96.3,10,19,3,4,1,0,3,1
46,2,107.55,10,19,4,2,0,3,0,1
161,0,130.0,3,25,3,2,1,1,0,0
56,0,82.0,9,17,3,2,0,1,0,1
255,0,106.0,11,7,2,2,1,0,4,0
9,2,194.0,6,27,4,3,1,1,3,1
159,1,133.2,9,28,4,4,1,0,3,0
3,1,67.57,12,21,4,4,0,3,0,1
13,1,115.0,8,1,4,0,1,0,0,1
63,3,72.25,10,27,4,5,0,0,0,1
0,1,124.0,9,11,4,1,0,0,0,1
142,0,114.3,5,22,4,1,2,0,3,1
13,0,65.0,11,29,2,1,0,0,0,1
62,0,67.5,3,11,4,2,0,3,0,1
1,0,0.0,9,15,1,1,0,0,0,1
221,0,65.0,10,10,3,1,2,0,0,1
4,1,160.0,10,17,4,4,1,0,0,1
314,0,75.0,10,12,3,3,0,0,0,0
256,2,67.5,11,27,4,0,1,3,0,1
91,0,103.5,7,3,4,2,2,3,0,1
89,0,57.6,11,16,4,4,0,3,0,0
196,1,66.53,7,26,4,5,2,0,0,1
179,1,90.9,10,28,4,2,2,0,0,1
88,0,151.2,10,10,4,3,1,0,3,0
93,2,177.3,9,27,4,3,0,0,3,0
47,0,85.0,3,20,3,2,2,0,0,0
27,0,108.0,9,30,3,2,0,0,0,1
5,0,89.0,4,19,4,1,0,3,0,1
212,2,92.65,10,1,4,5,2,3,0,1
1,1,86.0,1,4,4,1,1,3,0,1
60,0,78.3,2,5,4,2,1,0,0,1
13,0,130.33,4,5,4,5,1,0,3,1
78,1,86.32,3,20,4,5,2,0,3,1
17,0,73.92,9,10,4,2,0,3,0,1
317,0,120.0,9,15,3,2,0,0,0,0
87,1,187.85,5,16,4,10,4,0,5,0
29,0,85.0,12,2,2,2,0,0,0,1
0,1,80.0,8,4,4,2,0,3,0,1
200,1,90.95,7,15,4,7,3,0,0,0
92,0,63.75,8,28,3,3,2,3,0,0
38,1,80.2,6,20,3,3,1,0,0,1
20,1,96.9,11,15,4,5,1,0,3,1
6,0,197.0,11,7,4,0,1,0,0,1
68,0,125.1,9,16,4,1,0,3,0,0
103,0,80.1,10,31,4,0,1,3,0,1
119,0,110.0,6,7,3,1,0,0,0,1
16,0,95.0,10,2,2,1,2,0,0,1
5,2,189.43,4,26,4,3,0,0,5,1
112,1,95.63,7,11,4,5,3,3,0,1
38,0,156.6,9,26,4,2,1,0,3,0
30,1,162.35,6,20,4,0,1,0,5,1
29,1,66.18,12,2,2,2,0,0,0,1
144,2,91.26,10,23,4,3,2,3,0,1
37,0,105.0,10,13,3,3,0,0,0,1
195,0,71.22,12,2,4,2,0,0,1,0
71,0,105.0,12,6,3,4,0,0,0,1
1,1,145.0,7,3,4,3,2,0,0,1
66,0,75.0,10,9,3,2,1,0,0,0
1,0,70.0,6,17,3,2,1,0,0,1
75,0,105.0,10,30,3,0,2,1,0,0
1,1,63.75,12,2,4,2,0,0,0,1
80,1,96.3,6,23,4,1,0,0,0,1
11,2,186.0,5,2,4,1,1,0,3,1
8,0,80.27,12,4,4,2,1,0,0,1
118,1,97.75,4,30,4,3,2,0,0,1
155,1,76.58,5,16,4,3,1,0,0,1
108,3,72.25,12,21,4,3,1,0,0,1
19,1,64.67,11,14,4,3,1,0,0,1
88,1,132.3,10,20,4,3,0,0,3,1
46,0,75.0,11,11,3,2,0,0,0,1
1,0,0.0,4,8,4,2,0,0,0,1
245,0,75.0,6,17,3,2,0,0,0,0
21,0,123.5,8,28,4,4,2,0,0,1
66,0,75.0,10,9,3,2,1,0,0,1
